first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Claudio,Bravo,0,0,1,44,0,0.0,2.6,0.0,0,4,0.3,0,0,0,0.5,45
John,Stones,0,0,55,1139,11,19.3,247.4,97.0,2,280,36.5,7,0,0,3.1,53
Aleksandar,Kolarov,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Vincent,Kompany,1,1,52,1214,10,57.1,354.2,109.0,2,287,52.0,5,0,6,3.0,59
Nicolás,Otamendi,4,0,146,2786,24,198.8,803.2,357.0,18,695,136.2,14,0,8,27.0,64
Fabian,Delph,1,1,45,1462,16,204.5,300.6,58.0,0,324,56.3,5,0,2,0.4,45
Raheem,Sterling,17,13,200,2244,22,751.9,869.6,1326.0,18,631,294.9,10,1,3,23.0,89
David,Silva,8,11,156,2251,18,1058.8,810.4,807.0,24,617,268.0,12,0,5,12.3,82
Gnegneri Yaya,Touré,0,1,9,98,1,35.1,51.6,10.0,0,49,9.5,0,0,1,0.8,60
Fernando,Luiz Rosa,3,4,96,2520,22,428.3,655.8,329.0,5,499,141.4,13,0,7,3.9,50
Fernando Francisco,Reges,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Kevin,De Bruyne,7,17,190,2763,21,1649.5,1062.4,693.0,25,810,340.6,16,0,2,22.3,103
Ilkay,Gündogan,4,2,71,1150,13,324.5,347.4,330.0,9,315,99.9,4,0,3,1.8,54
Manuel,Agudo Durán,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,70
Leroy,Sané,9,12,152,2055,20,731.4,706.4,905.0,14,539,234.0,10,0,4,12.3,86
Bernardo Mota,Veiga de Carvalho e Silva,4,5,88,1240,9,394.6,367.4,342.0,3,357,110.3,7,0,0,1.2,72
Sergio,Agüero,21,6,169,1960,12,570.8,966.4,1484.0,22,740,302.5,13,0,2,11.7,115
Gabriel Fernando,de Jesus,10,6,101,1288,10,285.0,476.2,876.0,14,353,163.5,7,0,5,12.8,102
Kyle,Walker,0,6,128,2634,21,443.8,513.8,101.0,6,651,105.9,14,1,2,13.4,66
Danilo Luiz,da Silva,2,1,73,1041,10,110.7,275.6,138.0,5,298,52.5,7,0,2,2.5,50
Benjamin,Mendy,0,1,17,298,1,100.9,68.4,27.0,1,84,19.7,2,0,2,0.3,63
Phil,Foden,0,1,6,18,1,13.7,22.0,2.0,0,18,3.7,0,0,0,0.0,47
Brahim,Diaz,0,0,3,31,1,2.9,6.6,35.0,0,9,4.5,0,0,0,0.0,47
Oleksandr,Zinchenko,0,0,14,455,2,112.3,103.0,13.0,0,89,22.8,3,0,1,0.0,50
Oluwatosin,Adarabioyo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Aymeric,Laporte,0,0,18,446,3,24.5,77.8,18.0,1,106,12.1,2,0,1,1.0,51
Lukas,Nmecha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Alexis,Sánchez,9,9,141,2276,31,1025.8,774.0,1190.0,13,465,299.1,9,0,5,3.3,115
Nemanja,Matic,1,1,87,2937,24,373.6,635.8,165.0,3,538,117.6,16,0,6,9.1,47
David,De Gea,0,0,161,3060,26,10.0,772.8,0.0,10,706,78.6,17,0,0,44.6,59
Sergio,Romero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
Joel Dinis,Castro Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,39
Chris,Smalling,4,0,113,2265,22,32.5,701.2,221.0,9,538,95.7,10,0,4,8.4,56
Phil,Jones,0,0,109,1883,11,35.2,472.2,12.0,18,524,52.0,14,0,2,5.4,55
Luke,Shaw,0,0,39,645,2,99.8,111.8,118.0,2,173,33.1,6,0,1,0.5,48
Marcos,Rojo,0,0,16,474,7,25.1,115.6,44.0,4,88,18.5,2,0,5,0.1,54
Antonio,Valencia,3,1,138,2561,21,401.8,534.8,247.0,13,620,118.2,15,0,7,11.6,69
Matteo,Darmian,0,0,16,286,2,18.9,57.2,6.0,0,75,8.2,2,0,0,0.2,49
Daley,Blind,0,0,21,284,0,80.7,57.0,15.0,0,91,15.2,3,0,0,0.9,51
Eric,Bailly,1,0,48,909,6,28.4,205.8,79.0,3,218,31.4,6,0,2,5.8,60
Axel,Tuanzebe,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,1.2,39
Victor,Lindelöf,0,0,39,1104,13,35.0,246.4,0.0,1,255,28.3,4,0,1,1.2,49
Juan,Mata,3,4,92,1739,9,744.7,387.2,436.0,6,379,156.3,14,0,1,2.0,68
Marouane,Fellaini,3,0,39,518,0,70.6,206.6,200.0,3,138,47.7,4,0,1,0.5,47
Michael,Carrick,0,0,1,24,0,11.2,7.0,33.0,0,0,5.1,0,0,0,0.8,42
Ashley,Young,2,5,90,2204,24,440.6,541.6,193.0,11,440,117.4,9,0,6,2.0,48
Ander,Herrera,0,2,38,1091,13,210.5,266.6,87.0,0,202,56.6,4,0,5,1.3,50
Jesse,Lingard,8,6,122,1649,17,480.5,506.2,610.0,10,423,159.4,8,0,2,10.1,60
Anthony,Martial,9,6,122,1456,12,455.0,526.2,716.0,7,393,169.9,9,0,1,2.4,78
Paul,Pogba,5,13,123,1870,18,588.7,641.0,649.0,12,487,188.0,10,1,4,12.8,79
Scott,McTominay,0,0,15,435,3,30.1,55.2,10.0,0,71,9.5,2,0,1,0.7,42
Marcus,Rashford,6,5,92,1563,14,379.1,429.0,775.0,9,347,157.9,9,0,3,6.4,74
Romelu,Lukaku,16,7,161,2817,26,546.9,824.8,1310.0,18,588,267.6,14,0,4,27.5,115
Andreas,Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Zlatan,Ibrahimovic,0,0,5,102,2,43.5,14.8,68.0,0,18,12.6,0,0,0,0.1,95
Robert Kenedy,Nunes do Nascimento,2,2,44,683,4,153.3,189.2,211.0,5,135,55.4,6,0,0,2.7,48
Islam,Slimani,1,1,22,282,3,72.0,78.8,103.0,1,65,25.0,1,0,1,0.3,66
