assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,267,0,0,3,86417,0,0,-3,3,188.3,0,0,2,0.0,0.0,0,Jeffrey,0.0,30,0,66.4,123,False,335.6,0,0,0,0,1733,Knock - Expected back 21 Apr,2018-03-17T16:31:18Z,47,0,0,0,86417.jpg,2.0,0,0,Schlupp,0.2,False,15,i,6,31,138.0,45,29152,0,38323,7,0.0,9.6,Schlupp,3
0,2,328,100,100,4,74230,0,0,-4,4,262.2,1,0,2,2.0,2.5,5,Patrick,2.0,37,2,87.7,124,False,379.0,0,0,0,0,1921,,2017-10-28T15:31:15Z,51,0,0,0,74230.jpg,2.2,0,0,van Aanholt,1.8,False,3,a,6,31,233.0,55,99477,87,191653,217,0.4,10.8,van Aanholt,7
0,0,38,0,0,0,19197,0,0,-6,6,93.9,0,0,3,0.0,0.0,0,Jason,0.0,14,0,25.1,125,False,46.4,0,0,0,0,574,Knee injury - Unknown return date,2017-12-31T14:31:16Z,44,0,0,0,19197.jpg,1.1,0,0,Puncheon,0.3,False,42,i,6,31,112.0,11,12902,0,66462,2,0.0,2.5,Puncheon,5
5,3,319,100,100,8,82403,0,0,-1,1,589.8,1,0,3,7.0,7.5,2,Wilfried,7.0,30,7,214.1,126,False,552.0,0,0,0,0,2279,,2018-03-31T11:31:19Z,69,0,0,0,82403.jpg,4.1,0,0,Zaha,7.7,False,11,a,6,31,999.0,107,832017,1523,1514300,1336,1.0,15.5,Zaha,5
1,6,338,100,100,5,50471,0,0,-2,2,278.7,1,0,3,2.8,3.3,3,James,2.8,34,3,113.4,127,False,380.4,0,0,0,0,2186,,2018-01-02T20:01:18Z,43,0,0,0,50471.jpg,2.6,0,0,McArthur,3.4,False,18,a,6,31,475.0,78,333503,207,371620,330,0.7,18.1,McArthur,4
0,0,17,100,100,0,75773,0,0,-3,3,31.5,0,0,3,0.0,0.5,0,Chung-yong,0.0,3,0,4.4,128,False,3.0,0,0,0,0,122,,2017-12-12T20:01:14Z,42,0,0,0,75773.jpg,1.2,0,0,Lee,0.3,False,14,a,6,31,10.0,6,48176,8,45744,23,0.0,1.4,Lee Chung-yong,0
4,3,377,100,100,6,27341,0,0,-2,2,706.2,0,0,3,2.8,3.3,3,Yohan,2.8,35,0,143.9,129,False,396.4,0,0,0,0,2132,,2018-02-23T23:31:19Z,53,0,0,0,27341.jpg,2.4,0,0,Cabaye,0.2,False,7,a,6,31,335.0,66,19535,8,34782,6,0.5,12.5,Cabaye,6
0,1,115,0,0,1,44343,0,0,-2,2,103.1,0,0,3,0.0,0.0,0,Bakary,0.0,10,3,46.9,130,False,143.2,0,0,0,0,466,Ankle injury - Unknown return date,2018-01-30T22:31:16Z,48,0,0,0,44343.jpg,2.3,0,0,Sako,0.1,False,26,i,6,31,227.0,36,20364,0,21788,5,0.0,7.5,Sako,0
8,7,512,100,100,7,60252,0,0,-4,4,918.1,0,0,3,3.0,3.5,3,Andros,3.0,47,2,203.8,131,False,577.6,0,0,0,0,2864,,2018-01-20T14:01:19Z,56,0,0,0,60252.jpg,3.3,0,0,Townsend,1.4,False,10,a,6,31,540.0,110,141913,111,194552,175,0.5,19.6,Townsend,3
2,21,590,100,100,6,66975,0,0,2,-2,350.0,2,0,3,7.8,8.3,3,Luka,7.8,51,10,160.1,132,False,828.4,0,0,0,0,2809,,2017-12-13T10:01:14Z,52,0,1,0,66975.jpg,4.2,0,0,Milivojevic,13.7,False,4,a,6,31,422.0,137,1011886,2599,285061,1089,1.5,26.3,Milivojevic,7
