,first_name,second_name,id,position
165,Tommy,Smith,166,Defender
166,Michael,Hefele,167,Defender
167,Martin,Cranie,168,Defender
168,Jon Gorenc,Stankovic,169,Defender
169,Mark,Hudson,170,Defender
170,Mathias,Jorgensen,171,
171,Aaron,Mooy,172,Midfielder
172,Rajiv,van La Parra,173,Midfielder
173,Jonathan,Hogg,174,Midfielder
174,Philip,Billing,175,Midfielder
175,Joe,Lolley,176,Forward
176,Jack,Payne,177,Midfielder
177,Dean,Whitehead,178,Midfielder
178,Harry,Bunn,179,Forward
179,Sean,Scannell,180,Forward
180,Elias,Kachunga,181,Forward
181,Tom,Ince,182,
182,Kasey,Palmer,183,Midfielder
183,Danny,Williams,184,Midfielder
184,Nahki,Wells,185,Forward
185,Collin,Quaner,186,Forward
186,Laurent,Depoitre,187,Forward
187,Steve,Mounie,188,Forward
188,Kasper,Schmeichel,189,Goalkeeper
189,Ben,Hamer,190,Goalkeeper
190,Wes,Morgan,191,Defender
191,Christian,Fuchs,192,Defender
192,Danny,Simpson,193,
193,Robert,Huth,194,Defender
194,Yohan,Benalouane,195,Defender
195,Benjamin,Chilwell,196,
196,Molla,Wagué,197,Defender
197,Harry,Maguire,198,Defender
198,Riyad,Mahrez,199,Midfielder
199,Marc,Albrighton,200,Midfielder
200,Andy,King,201,
201,Daniel,Drinkwater,202,Midfielder
202,Demarai,Gray,203,Midfielder
203,Daniel,Amartey,204,Midfielder
204,Nampalys,Mendy,205,Midfielder
205,Wilfred,Ndidi,206,Midfielder
206,Ahmed,Musa,207,Forward
207,Vicente,Iborra,208,Midfielder
208,Jamie,Vardy,209,Forward
209,Leonardo,Ulloa,210,Forward
210,Shinji,Okazaki,211,Forward
211,Islam,Slimani,212,Forward
212,Simon,Mignolet,213,Goalkeeper
213,Loris,Karius,214,Goalkeeper
214,Dejan,Lovren,215,Defender
215,Alberto,Moreno,216,Defender
216,Nathaniel,Clyne,217,Defender
217,Joseph,Gomez,218,Defender
218,Joel,Matip,219,Defender
219,Ragnar,Klavan,220,Defender
220,Mamadou,Sakho,221,Defender
221,James,Milner,222,Defender
222,Trent,Alexander-Arnold,223,Defender
223,Leiva,Lucas,224,
224,Jordan,Henderson,225,Midfielder
225,Philippe,Coutinho,226,
226,Emre,Can,227,Midfielder
227,Adam,Lallana,228,Midfielder
228,Oluwaseyi,Ojo,229,
229,Sadio,Mané,230,Midfielder
230,Marko,Grujic,231,Midfielder
