FirstName,Surname,PositionsList,Team
Nya,Kirby,MID,Crystal Palace
Davy,Klaassen,MID,Everton
Ragnar,Klavan,DEF,Liverpool
Anthony,Knockaert,MID,Brighton & Hove Albion
Aleksandar,Kolarov,DEF,Man City
Sead,Kolasinac,DEF,Arsenal
Vincent,Kompany,DEF,Man City
Terence,Kongolo,DEF,Huddersfield Town
Laurent,Koscielny,DEF,Arsenal
Cheikhou,Kouyaté,MID,West Ham
Tim,Krul,GLK,Brighton & Hove Albion
Grzegorz,Krychowiak,MID,West Brom
Alexandre,Lacazette,FWD,Arsenal
Olayinka Fredrick Oladotun,Ladapo,FWD,Crystal Palace
Adam,Lallana,MID,Liverpool
Erik,Lamela,MID,Tottenham
Manuel,Lanzini,MID,West Ham
Aymeric,Laporte,DEF,Man City
Jamaal,Lascelles,DEF,Newcastle Utd
Chung-yong,Lee,MID,Crystal Palace
Adam,Legzdins,GLK,Burnley
Florian,Lejeune,DEF,Newcastle Utd
Jonathan,Leko,MID,West Brom
Mario,Lemina,MID,Southampton
Aaron,Lennon,MID,Burnley
Lewis,Cook,MID,Bournemouth
Anders,Lindegaard,GLK,Burnley
Victor,Lindelöf,DEF,Man Utd
Jesse,Lingard,MID,Man Utd
Jake,Livermore,MID,West Brom
Fernando,Llorente,FWD,Tottenham
Hugo,Lloris,GLK,Tottenham
Jürgen,Locadia,FWD,Brighton & Hove Albion
Ruben,Loftus-Cheek,MID,Crystal Palace
Jason,Lokilo,MID,Crystal Palace
Joe,Lolley,MID,Huddersfield Town
Kevin,Long,DEF,Burnley
Shane,Long,FWD,Southampton
Ademola,Lookman,MID,Everton
Jonas,Lössl,GLK,Huddersfield Town
Dejan,Lovren,DEF,Liverpool
Chris,Löwe,DEF,Huddersfield Town
Matthew,Lowton,DEF,Burnley
Leiva,Lucas,MID,Liverpool
 ,Lucas Moura,MID,Tottenham
Romelu,Lukaku,FWD,Man Utd
Dodi,Lukebakio,MID,Watford
Levi,Lumeka,MID,Crystal Palace
Matt,Macey,GLK,Arsenal
Niki,Mäenpää,GLK,Brighton & Hove Albion
Harry,Maguire,DEF,Leicester
Connor,Mahoney,MID,Bournemouth
Riyad,Mahrez,MID,Leicester
Ainsley,Maitland-Niles,MID,Arsenal
Moses,Makasi,MID,West Ham
Scott,Malone,DEF,Huddersfield Town
Sadio,Mané,MID,Liverpool
Eliaquim,Mangala,DEF,Everton
Javier,Manquillo,DEF,Newcastle Utd
Solomon,March,MID,Brighton & Hove Albion
Adrian,Mariappa,DEF,Watford
Dean,Marney,MID,Burnley
Anthony,Martial,MID,Man Utd
Cuco,Martina,DEF,Everton
Damian Emiliano,Martinez,GLK,Arsenal
Antonio,Martinez Lopez,FWD,West Ham
