player,position
Philipp Wollscheid,Defender
Chris Wood,Forward
Ben Woodburn,Midfielder
Granit Xhaka,Midfielder
Claudio Yacob,Midfielder
Josef Yarney,Defender
Yaya Touré,Midfielder
DeAndre Yedlin,Defender
Maya Yoshida,Defender
Ashley Young,Midfielder
Pablo Zabaleta,Defender
Wilfried Zaha,Midfielder
Zanka,Defender
Davide Zappacosta,Defender
Mauro Zárate,Forward
Marvin Zeegelaar,Defender
Yuning Zhang,Forward
Ron-Robert Zieler,Goalkeeper
Oleksandr Zinchenko,Midfielder
Kurt Zouma,Defender
