player,position,,,
Tyrone Mings,Defender,,,
Kevin Mirallas,Forward,,,
Henrikh Mkhitaryan,Midfielder,,,
Moha,Midfielder,,,
Mohamed Elneny,Midfielder,,,
Nacho Monreal,Defender,,,
Jefferson Montero,Midfielder,,,
Liam Moore,Defender,,,
Alberto Moreno,Defender,,,
Wes Morgan,Defender,,,
James Morrison,Midfielder,,,
Victor Moses,Midfielder,,,
Lys Mousset,Forward,,,
Marc Muniesa,Defender,,,
Glenn Murray,Forward,,,
Ahmed Musa,Forward,,,
Shkodran Mustafi,Defender,,,
Jordon Mutch,Midfielder,,,
Boaz Myhill,Goalkeeper,,,
Alfred N'Diaye,Midfielder,,,
Clinton N'Jie,Forward,,,
Samir Nasri,Midfielder,,,
Nathan,Forward,,,
Kyle Naughton,Defender,,,
Jesús Navas,Midfielder,,,
Julien Ngoy,Forward,,,
M'Baye Niang,Forward,,,
Oumar Niasse,Forward,,,
Danijel Nizic,Goalkeeper,,,
Georges-Kévin Nkoudou,Midfielder,,,
Mark Noble,Midfielder,,,
Kristoffer Nordfeldt,Goalkeeper,,,
Håvard Nordtveit,Defender,,,
Nsue,Midfielder,,,
David Nugent,Forward,,,
Joey O'Brien,Defender,,,
Eunan O'Kane,Midfielder,,,
John O'Shea,Defender,,,
Pedro Obiang,Midfielder,,,
Peter Odemwingie,Forward,,,
Moses Odubajo,Midfielder,,,
Angelo Ogbonna,Defender,,,
Stefano Okaka,Forward,,,
Shinji Okazaki,Forward,,,
Ola Aina,Defender,,,
Olufela Olomola,Forward,,,
Martin Olsson,Defender,,,
Andre Olukanmi,Midfielder,,,
Josh Onomah,Midfielder,,,
Divock Origi,Forward,,,
Oriol Romeu,Midfielder,,,
Oscar,Midfielder,,,
Leon Osman,Midfielder,,,
David Ospina,Goalkeeper,,,
Nicolás Otamendi,Defender,,,
Obbi Oularé,Forward,,,
Bryan Oviedo,Midfielder,,,
Reece Oxford,Defender,,,
Alex Oxlade-Chamberlain,Midfielder,,,
Mesut Özil,Midfielder,,,
Paddy McCarthy,Midfielder,,,
Paddy McNair,Defender,,,
Kasey Palmer,Midfielder,,,
Alberto Paloschi,Forward,,,
Costel Pantilimon,Goalkeeper,,,
Juan Carlos Paredes,Defender,,,
Djair Parfitt-Williams,Forward,,,
Mario Pasalic,Midfielder,,,
Dimitri Payet,Midfielder,,,
Pedro,Forward,,,
Graziano Pellè,Forward,,,
Adalberto Peñaranda,Forward,,,
Matthew Pennington,Defender,,,
Dion Pereira,Midfielder,,,
Roberto Pereyra,Midfielder,,,
Lucas Pérez,Forward,,,
Matt Phillips,Midfielder,,,
Jordan Pickford,Goalkeeper,,,
Jérémy Pied,Defender,,,
Steven Pienaar,Midfielder,,,
Erik Pieters,Defender,,,
Sébastien Pocognoli,Defender,,,
Paul Pogba,Midfielder,,,
Regan Poole,Midfielder,,,
Nick Pope,Goalkeeper,,,
Nick Powell,Midfielder,,,
Alex Pritchard,Midfielder,,,
Sebastian Prödl,Defender,,,
Marc Pugh,Midfielder,,,
Jason Puncheon,Midfielder,,,
Domingos Quina,Midfielder,,,
Ramadan Sobhi,Midfielder,,,
Gastón Ramírez,Midfielder,,,
Aaron Ramsey,Midfielder,,,
Connor Randall,Defender,,,
Darren Randolph,Goalkeeper,,,
Angel Rangel,Defender,,,
Andrea Ranocchia,Defender,,,
Tokelo Rantie,Forward,,,
Marcus Rashford,Forward,,,
Adam Reach,Midfielder,,,
Nathan Redmond,Midfielder,,,
Harrison Reed,Midfielder,,,
Winston Reid,Defender,,,
Jeff Reine-Adélaïde,Midfielder,,,
Loïc Remy,Forward,,,
Jordan Rhodes,Forward,,,
Declan Rice,Defender,,,
Joe Riley,Defender,,,
